Step,Speed
0,25.50
1,40.30
2,51.73
3,60.07
4,66.21
5,70.74
6,74.06
7,76.51
8,78.31
9,79.64
10,80.61
11,81.33
12,81.86
13,82.25
14,82.54
15,82.75
16,82.90
17,83.02
18,83.10
19,83.16
20,83.21
21,83.24
22,83.26
23,83.28
24,83.30
25,83.31
26,83.31
27,83.32
28,83.32
29,83.33
30,83.33
31,83.33
32,83.33
33,83.33
34,83.33
35,83.33
36,83.33
37,83.33
38,83.33
39,83.33
40,83.33
41,83.33
42,83.33
43,83.33
44,83.33
45,83.33
46,83.33
47,83.33
48,83.33
49,83.33
50,83.33
51,83.33
52,83.33
53,83.33
54,83.33
55,83.33
56,83.33
57,83.33
58,83.33
59,83.33
60,83.33
61,83.33
62,83.33
63,83.33
64,83.33
65,83.33
66,83.33
67,83.33
68,83.33
69,83.33
70,83.33
71,83.33
72,83.33
73,83.33
74,83.33
75,83.33
76,83.33
77,83.33
78,83.33
79,83.33
80,83.33
81,83.33
82,83.33
83,83.33
84,83.33
85,83.33
86,83.33
87,83.33
88,83.33
89,83.33
90,83.33
91,83.33
92,83.33
93,83.33
94,83.33
95,83.33
96,83.33
97,83.33
98,83.33
99,83.33
